S#,C#,GRADE
2206483393,LITE305321,83.8
JL22013848,INDE400601,null
2206762710,SOCP100190,94.4
2193365656,INSM900101,null
2205714505,LITE401421,64.8
2212711906,GNED100901,62.2
2222609398,INFT500121,74.8
2210659748,MACH391201,89.6
2202797557,LITE307021,41.5
2211661449,LITE303721,98.0
2215374290,LITE502121,77.1
2222380116,INDE500901,62.8
2224212322,INSM900101,86.3
2205831341,LITE401521,72.0
2192297206,INSM000101,null
2225651889,LITE306121,64.3
2226439124,LITE306321,84.1
2227123322,INDE900201,null
2214320332,MACH391201,57.1
JL22182296,LITE307021,83.1
2194590680,INSM302201,99.5
JL22144367,INSM302001,65.4
2219322141,MACH000201,68.4
2218817348,INDE900801,77.4
2190648174,BSIS400121,null
2204576915,MACH392201,82.0
2206555606,INSM401801,78.6
2197764511,INDE500801,58.7
2209316448,INDE900801,34.6
2192665577,GNED101001,null
2221100858,INDE900801,99.9
2198475837,MACH391501,null
2192900939,MACH400301,null
2226460019,INDE000701,99.2
2212757351,LITE401521,73.7
2197764511,GNED101001,91.9
JL21957877,LITE401121,87.6
2197476939,LITE402321,76.9
2213941557,AUTO544905,31.7
2226658003,LITE401121,74.6
2226110631,ITDE500701,71.4
2212084232,LITE200321,null
2203528443,INSM401801,69.6
2204531961,LITE304621,69.6
2198679623,MACH390901,73.9
2223002853,MACH000101,null
2219471450,MACH391501,61.8
2229683357,INSM000101,75.7
2198993184,GNED106392,55.7
2225593084,INDE500801,86.2
2190369724,GNED100901,72.0
2208055289,LITE305621,98.3
2191718121,MATH400121,84.4
2209731783,INSM401201,78.0
2196361366,LITE305421,75.1
JL22015762,LITE401421,97.0
2190342267,INSM900101,84.1
2229017735,INDE400601,97.5
2194630264,LITE303721,99.5
2199771962,MACH390801,91.0
2212026425,INDE501001,97.2
2224120773,GNED106392,76.5
2207150892,INDE400101,72.9
2205650430,AUTO544905,79.9
2209527942,INDE901001,90.0
2196834156,INDE401401,85.8
2192138809,JZSJ900101,46.2
2219017418,INSM502101,null
2227759825,GNED110400,79.1
2190826591,JZSJ900121,80.6
2229479066,INSM302001,76.9
JL22015762,ITDE500601,93.1
2204661099,LITE306321,95.1
2214211013,INDE901001,74.9
2226816814,INDE900201,44.9
2224634745,INSM502001,73.8
2224447728,LITE101321,66.5
2197128337,LITE305421,69.2
2225611204,LITE200521,76.5
2200152753,LITE200321,null
2214660591,GNED100701,99.5
2212711906,GNED115200,84.5
2226182511,FEES400101,73.9
2192128377,GNED100601,82.1
2200404246,LITE303021,78.0
2220163322,LITE402421,67.4
2208402186,INDE901001,48.0
2191590488,LITE402621,null
2197840617,LITE101121,76.7
2214320332,LITE101321,51.9
2207651387,MACH000101,52.1
2227341171,JZSJ900121,73.1
2190675360,INSM000101,72.6
JL22022091,INDE400101,81.7
2197764511,LITE307021,92.3
2211170882,LITE305021,32.9
2190197058,GNED106492,92.4
JL22236042,LITE401521,97.1
2201609446,LITE402421,null
2192984966,INDE401401,74.4
JL21933205,MACH400301,91.5
JL22166030,LITE305421,null
2196834156,GNED106292,78.6
2199618334,INDE400601,93.1
2225190361,FEES500101,84.1
2197971878,LITE306321,72.7
2229124889,GNED106392,79.1
2212324590,MACH392301,54.9
2197199299,GNED115200,92.1
2226460019,INFT500121,77.1
2220894547,LITE502221,null
2221783581,MACH392401,56.2
2228765196,INSM502101,93.5
2204531961,MACH392301,91.8
2206580161,LITE402321,73.6
2203899597,FEES500101,72.0
2206416280,INDE500901,null
2214452660,INDE900301,48.8
2197971878,INDE901001,65.6
2201336635,INSM401501,52.8
2225460526,GNED110400,67.1
2208855253,AUTO544905,65.6
2205569366,LITE502221,57.9
2226019923,LITE305821,62.6
2197632031,INSM501901,null
2227292331,MACH391201,58.6
2191128247,FEES400301,75.1
2213868229,LITE502221,null
JL22075068,LITE306221,59.3
2195153825,MACH400301,95.7
2228678682,LITE401821,85.1
2195696139,INDE501001,71.6
2215529521,MACH391201,48.2
2194856339,INDE500901,49.9
2225548066,GNED106292,87.2
2206949491,MACH000201,51.4
2200872797,LITE303221,79.6
2221424213,MACH000101,46.6
2223503816,FEES400501,92.9
2192940455,JZSJ900121,66.5
2204269096,INSM302201,81.4
2191632426,LITE305421,86.1
2208810388,FEES300101,47.9
JL22086058,LITE502121,75.0
2218281579,FEES400101,37.8
2208696221,INSM401201,20.8
2201609446,FEES400101,77.9
JL22109661,LITE304621,65.1
2209866844,MACH000101,null
2209348555,LITE501121,68.6
JL22182937,LITE501321,63.2
2196825251,GNED115200,48.2
2228759500,ITDE500601,99.4
2226182511,INDE401601,80.8
2192143007,INDE401501,69.6
JL22006930,MATH400121,null
2219193336,LITE401821,98.3
2196165268,LITE304421,76.1
JL22223096,INDE900801,82.9
2201609446,INSM900101,60.6
2208131669,LITE307021,null
2202777748,INSM401601,82.8
2217435033,MACH392001,87.9
JL22268243,GNED106292,93.9
2219489078,LITE307021,77.8
2207742692,MACH000201,89.8
2225611204,LITE306921,41.3
2224578041,GNED115200,64.7
2217160074,LITE200521,null
2228765196,MACH392001,57.9
2191278913,GNED106292,69.1
2215480562,FEES400101,null
2225336905,LITE305621,90.2
JL22165939,GNED101001,76.4
2206443442,LITE303721,65.1
2208978008,GNED106492,65.8
JL22245899,GNED100601,57.3
JL22198786,LITE304621,89.8
2229426190,GNED100401,95.8
2217328213,GNED100901,74.6
2206313516,GNED115200,null
2221335401,MACH391501,72.5
JL22261261,INSM502001,72.4
2192940455,GNED115200,75.4
2206960299,INSM900301,null
2198431451,JZSJ900301,41.1
2216129930,MACH392401,80.6
2190347003,AUTO544905,33.7
2215529521,LITE304621,72.9
2219700103,INDE900201,67.1
2211164547,LITE402421,77.5
2197164260,LITE303021,null
2218098258,INDE900301,72.3
2193870304,FEES400501,66.0
JL22228119,LITE304421,84.4
2219078227,MACH391201,97.3
2227487099,LITE303221,87.8
2228679987,FEES400501,72.5
2223417116,LITE402321,78.0
2194201101,INSM302201,96.1
2206586561,LITE302721,96.8
2190781666,LITE306321,52.3
2208855253,LITE305821,94.2
2217915164,LITE401121,71.6
2200526024,INSM401801,60.4
2219853491,CORE102600,66.8
2216231759,LITE305621,54.9
JL22145128,GNED110400,31.5
2217305509,LITE305421,93.0
2206443442,LITE306821,93.5
2212292641,INDE300601,61.9
JL22166030,LITE305421,50.2
JL21921615,LITE306821,66.6
2227986592,LITE302721,59.0
2217882321,GNED101101,88.8
JL22198786,MACH391201,18.9
2223495853,AUTO544905,null
2204430990,GNED100901,null
2197764511,MACH391201,67.0
2198475837,LITE401521,94.0
2213647394,INDE500801,72.3
2224568763,GNED100601,52.9
2195469338,LITE305621,82.2
2200049881,GNED101001,40.4
2207294072,FEES300101,86.8
JL22087368,GNED100901,81.9
JL22040342,LITE101321,86.6
2199662571,INSM401501,89.8
2225678905,INSM401501,98.0
2210237286,LITE401121,68.9
2203225789,MACH392201,89.2
2199771962,INSM401201,null
2195153825,LITE306121,96.2
2226377833,LITE101121,54.7
2229432307,MACH392201,82.7
2215575684,BSIS400121,72.1
2196366275,JZSJ900101,62.3
JL22263603,LITE303021,85.0
2222281334,LITE306921,78.9
2221424213,INDE401601,null
JL22051260,INFT500121,70.0
2194191237,LITE305421,89.7
2213941557,GNED100601,45.9
2204284758,MATH400121,98.6
2217996207,MACH392001,70.3
2201913018,LITE502221,86.2
2206586561,FEES400301,52.9
JL22157269,INDE401401,null
2203631710,GNED100401,91.6
2210521450,LITE501121,64.2
2212084232,INSM502101,null
2207861557,MACH400301,null
2207230793,MACH392401,80.3
2198762358,MACH000101,82.6
JL22013848,MACH392401,87.7
2222609398,INSM000101,97.4
2211886737,INSM502101,67.0
2223002853,GNED106492,null
2225372704,GNED106492,90.8
2194114443,INSM401201,82.8
2204593432,LITE302721,80.2
2209066322,INDE500901,34.9
2211395587,INDE500901,54.6
2217495436,INSM401501,72.6
2213428607,INSM900101,null
2227070358,MACH390801,null
2201626426,LITE306321,72.4
2219522628,INDE900801,89.4
2229479066,INDE000701,69.5
2192281149,LITE402621,66.6
2212182114,LITE305421,95.6
JL21907922,INDE401501,74.1
2215480562,GNED106392,77.4
2199467700,INSM900301,61.1
2222808290,LITE200521,84.3
2190942237,INSM900101,68.7
2205185638,FEES300101,87.1
2217328213,LITE305321,null
2225372704,INSM302001,36.5
2197292217,SOCP100190,68.4
2217299447,INSM401601,93.9
2200933621,MACH392001,41.3
2208146340,MATH400121,67.7
2228057245,FEES400501,72.9
2219942247,INSM401601,null
2197127525,MACH000201,null
2200872797,GNED100601,null
2224120773,GNED106292,61.9
2225190361,LITE303721,66.4
2213719404,ITDE500701,51.1
2190806507,GNED101101,62.7
2211948583,LITE303721,null
2211028134,INDE000701,null
2225767313,INDE900801,49.6
2201893453,LITE303221,98.8
2211794411,GNED100401,null
2193115301,LITE306221,71.0
2195160291,JZSJ900101,75.3
JL21924326,MACH392401,89.3
2222784391,LITE302721,86.0
2218007133,LITE306121,null
2219193336,LITE401821,87.8
2214211013,LITE101321,83.1
2213428607,INSM401201,28.2
2215172777,BSIS400121,72.1
2207861557,INDE401501,54.3
2208603890,INDE401401,null
2213941557,LITE402321,84.9
2221651483,LITE302721,null
2197355230,MACH392001,79.8
2192341356,LITE303221,61.6
2197874365,MACH400301,null
2216311834,LITE501121,89.3
2195429530,LITE502221,79.3
2195937834,MACH392201,78.5
JL21907922,INDE400101,82.3
2196724776,LITE501321,60.6
2219493593,LITE302721,50.4
2211967451,INDE000701,57.1
2196133768,INDE900201,18.3
2225651889,INDE900201,89.6
2206483393,LITE502221,62.5
2217607115,GNED106292,93.4
2225372704,INDE500801,97.1
2215575684,LITE305821,75.0
JL22281019,INDE400101,77.9
2190611825,INDE300601,87.0
2227199111,LITE303221,77.1
JL22291493,INDE300601,67.0
2201626426,LITE402321,73.0
2218817348,INDE400601,94.0
JL22209535,LITE101021,92.3
JL22245899,INDE401601,84.7
2220987824,LITE502121,53.7
2197462818,MACH391201,90.9
2219942247,LITE306921,53.0
2194856339,MACH000101,null
2198986021,LITE502221,74.0
2213070093,GNED100901,50.6
JL22209535,MACH392201,70.0
2202777748,LITE306821,83.4
2206540077,LITE502121,79.0
2190833759,INDE500801,76.3
2207299612,LITE306321,65.0
2216062620,LITE306121,78.4
2191891414,INDE900801,85.9
2228678682,LITE402421,94.7
2190806507,MACH392001,39.9
2205269050,FEES400101,null
JL22112734,INSM401501,87.3
2190134133,JZSJ900301,null
2202617602,LITE200321,null
2223342095,LITE501321,null
JL22057803,JZSJ900301,71.2
JL22075068,GNED115200,81.8
2200266522,INSM401201,95.6
JL22133009,ITDE500701,null
JL21957877,INSM502101,86.1
2215488139,LITE303221,89.0
2219017418,GNED106392,null
2222423177,LITE302321,76.5
2206416280,LITE305821,56.5
2224286522,INSM401201,57.5
2197787377,INSM302201,77.5
2209757367,INSM401501,87.0
2191526172,INSM302201,51.2
2225439149,INSM502001,66.3
JL22208844,MACH391201,56.4
2220605100,GNED106492,79.4
2224640895,LITE306821,50.5
2198431451,MACH391201,56.8
2215797903,FEES400501,33.1
2195581852,LITE200521,72.5
2203461422,JZSJ900301,81.3
2225709125,LITE200521,92.3
2221695322,LITE200521,49.2
2225190361,FEES400301,91.7
2213505839,LITE200321,54.4
2202617602,FEES400101,53.5
2204061958,INSM000101,77.6
JL22281019,INDE400601,72.0
2205118591,GNED101101,98.3
2190781666,LITE306221,85.2
JL22022091,AUTO544905,66.9
2190038824,INSM501901,62.7
2215629141,INSM000101,74.0
2227199111,LITE401521,73.9
2225460526,INSM302201,87.3
JL22087368,INSM401601,null
2196782232,LITE306121,76.9
2193083329,GNED100601,95.6
2215797903,GNED106292,61.4
2208876820,LITE307021,52.6
2227341171,LITE305821,70.5
2201609446,INSM401601,75.3
JL22109661,LITE502221,69.7
2210173888,FEES400101,73.5
2191864015,INDE500901,47.8
2208978008,LITE101321,null
2209660764,JZSJ900101,null
2220490443,LITE305621,null
2223002853,LITE501321,null
JL22005641,MACH390801,90.3
2207230793,LITE304421,66.4
2226019923,INSM501901,65.5
2221783581,LITE303221,96.2
2209971502,LITE306121,75.7
2221695322,LITE502221,null
2195043024,JZSJ900301,74.4
2229572420,LITE304621,null
JL22255912,GNED101101,45.0
2221695322,INDE300601,null
2190826591,LITE101021,71.6
2220486760,INDE401401,92.3
2222239016,INSM401201,85.0
2209866844,LITE306121,93.1
2227123322,LITE402421,41.1
2193694548,LITE302721,66.6
2224568763,LITE502121,81.3
2227101718,MACH392401,null
2225826872,INSM302001,52.8
2191886330,INDE401601,66.7
2216185143,MACH390901,75.9
2197127525,INFT500121,null
2192138809,GNED101001,82.2
2193918066,LITE304421,90.1
2202777748,INDE401401,80.7
2209757367,INSM502001,71.1
2216616451,JZSJ900301,94.1
2212063484,LITE305021,null
2222765277,FEES500101,null
JL21928953,GNED106292,86.4
2191063024,AUTO544905,79.5
2229914911,INDE300601,null
2193263702,AUTO544905,98.7
2224142408,LITE306821,54.9
JL21994570,INSM900101,null
2208146340,INDE400101,67.2
2201405952,LITE303221,92.0
2210981626,LITE200521,87.3
2201329230,MACH000201,78.7
2209576392,LITE306221,83.2
2194191237,BSIS400121,88.9
2214804955,MATH400121,99.3
2205185638,LITE402321,94.2
2213428607,GNED115200,64.6
2215196747,ITDE500701,52.2
2227101718,LITE303721,97.0
2209660764,LITE501321,84.3
2214083584,INSM302001,72.9
2202797557,FEES300101,67.1
2196361366,INDE901001,69.0
JL22182296,LITE305321,78.2
2214067481,LITE502221,68.9
JL21916613,MATH400121,68.1
2210526736,GNED106392,91.4
2222609398,LITE303221,61.7
2227706944,INSM302001,51.1
2204393364,MATH400121,69.7
JL22259764,LITE303021,87.4
2216944048,INFT500121,98.1
2201405952,INSM401201,99.4
2214538316,LITE307021,72.7
2198966502,ITDE500701,86.4
2217938597,INDE401601,91.5
2209971502,INSM302001,89.9
JL22179242,JZSJ900301,69.7
2226042811,MACH392301,82.6
2218687112,LITE302721,38.3
JL21942216,INSM401601,81.7
2191588675,LITE304421,80.7
2217305509,MACH392401,null
2208146340,INDE300601,82.8
2191632426,LITE303221,null
2222444045,LITE200521,75.3
JL21921615,ITDE500601,60.8
2190675360,LITE501121,null
2191743723,INSM900101,null
2211164547,LITE305421,84.0
2201542042,LITE101321,68.7
2209731783,BSIS400121,79.1
2191379259,LITE302321,83.4
2197610956,LITE302721,86.4
2212084232,INDE300601,62.4
2212509827,LITE305321,null
JL22232817,LITE307021,36.1
2202851376,MACH390801,55.1
2201382820,INDE500801,98.6
2218167717,LITE401521,null
2208740976,INSM000101,68.4
2191158116,LITE502221,52.9
2221843387,LITE306321,51.6
2216826207,LITE402321,72.9
2225593084,MACH000101,70.6
2196366275,LITE303221,85.1
2216944048,GNED106392,96.3
2227706944,LITE501121,null
JL22236042,LITE306921,68.4
JL22222362,LITE101121,77.2
2210941349,MATH400121,null
2197840617,LITE305021,47.0
2226659773,ITDE500701,79.2
2228141357,LITE306921,92.5
2227872334,INSM900101,66.3
2209660764,GNED106392,60.8
JL21986392,LITE306821,80.9
JL22144367,LITE306121,null
2225639683,LITE101021,85.7
2221044974,LITE305621,72.9
2214804955,INDE401601,63.7
2197355230,INDE900201,null
2207230793,LITE101021,69.8
2209568965,INDE300601,67.6
2214380224,GNED100901,null
2212063484,LITE306921,90.3
2205666652,GNED101101,77.9
2215662842,INDE000701,98.8
2191288698,LITE304421,60.5
2221870794,INSM900301,81.5
2212085607,LITE402621,45.8
2224346066,LITE306221,66.6
2194340221,MACH392401,49.8
2214941166,INSM501901,84.6
2226460019,BSIS400121,63.2
JL22086058,MACH391501,51.5
2202622585,LITE306821,97.3
JL22268243,LITE401121,64.1
2207651387,FEES400101,83.5
2228379774,FEES500101,40.0
2190806507,JZSJ900301,null
2205425551,LITE306821,70.0
2203320961,FEES400501,74.7
2221217114,INSM502001,62.7
2223381898,LITE401821,84.5
JL22174348,GNED110400,null
2195040600,INDE400101,59.9
2224447728,LITE401521,null
2214067481,INDE900301,86.8
2217328213,GNED106492,61.4
2199021248,GNED101101,63.5
2209071333,LITE302321,66.7
2197956825,LITE502221,71.1
2226033116,MACH000101,97.3
2215168534,LITE305421,60.9
2229320770,LITE101021,81.1
2195816633,FEES400301,65.8
2209702379,INSM302201,93.1
2196691226,FEES400301,null
2201329230,LITE401821,70.3
2194498354,LITE101321,31.6
JL22040342,ITDE500601,84.0
2229017735,MACH400301,83.0
2221109638,MACH391201,83.0
2226019923,INDE501001,34.0
2200920454,INSM401801,85.6
2218176742,INDE501001,65.7
JL22152260,LITE101121,59.1
2194050459,LITE401421,71.5
JL22212440,AUTO544905,61.5
JL22174348,JZSJ900301,77.0
JL22179242,MACH392301,69.3
2195777977,LITE307021,77.9
2196627401,BSIS400121,75.4
2196846723,CORE102600,96.6
JL21994570,MACH000101,56.4
2227706944,JZSJ900121,92.5
2202797557,MACH392301,78.1
2199845411,MACH000101,77.8
JL22018362,MACH390901,null
2222609398,LITE303721,65.4
JL22113164,GNED100601,63.5
2225161011,LITE303721,85.3
2219431854,LITE306921,56.2
JL22171799,LITE200521,99.3
2226182511,INDE901001,67.9
2206251375,LITE502121,null
2222205377,INDE401601,58.9
2190134133,LITE304421,38.3
2208978008,GNED100901,68.1
2209702379,GNED100701,null
2197819034,LITE306921,null
2193867221,INDE900801,89.7
2190186105,LITE401121,93.1
2195049768,GNED106392,50.0
2203476650,INSM501901,null
2227255346,LITE306221,97.7
2210237286,INDE501001,79.5
2192004102,LITE307021,72.7
2214211013,LITE306121,88.7
2197462818,INDE401401,null
2193083329,INDE401401,75.2
2219290065,INDE900201,71.7
2208855253,MACH390901,86.1
JL22264056,CORE102600,93.9
2203971487,LITE101021,null
2198623974,MACH391501,null
2226182511,INSM401801,67.7
2229271164,INSM900101,66.2
2198475837,LITE401821,82.7
2208855253,LITE402621,67.5
2220407438,INDE401501,null
JL21916613,LITE306221,94.0
2222596723,GNED100401,76.4
2202910055,LITE401421,55.9
2193632521,LITE101121,null
2191743723,MACH400301,null
2222785726,CORE102600,75.1
2210526736,LITE305421,44.6
2202919951,INDE901001,56.2
2193083329,LITE401421,64.8
2201968559,LITE302721,50.6
2208146340,INSM900101,null
2198986021,LITE401821,67.8
2217148938,LITE401121,79.3
2193187844,MACH400301,37.8
2190218918,GNED100601,94.9
2194050459,LITE303721,80.5
2213589879,LITE401821,81.5
JL22236042,GNED101001,98.6
2192808535,JZSJ900301,67.2
2219758473,CORE102600,79.3
2221870794,GNED110400,55.8
2204269096,MACH000101,89.4
2222444045,INSM401201,91.3
2205062860,FEES500101,57.8
2222503625,SOCP100190,80.6
2210941349,LITE101021,67.2
2203476650,MACH391401,36.2
2196348353,INDE901001,74.2
2200920454,LITE101321,88.0
2221783581,FEES400301,null
JL22292681,LITE306221,72.7
2229443238,INSM900301,76.1
2209207361,LITE401121,74.5
2211706793,LITE402421,59.3
2214508750,LITE306221,62.4
JL22015762,LITE401821,74.6
2211164547,GNED106492,null
2218098258,MACH390801,84.9
2214074682,MACH000101,78.7
2210705162,LITE306821,83.5
2213649171,LITE402421,64.5
2203151205,INSM401801,null
2223908222,INSM401601,63.8
2214117863,MACH391401,68.3
2218098258,INFT500121,69.0
2211066800,LITE305021,29.5
2211395587,GNED101101,null
2229027418,INSM900101,null
2197632031,JZSJ900101,87.0
2213098491,INSM302001,43.4
2218606372,INDE400101,74.4
2200440173,GNED115200,74.3
2193836106,LITE502221,47.9
2225161011,LITE101321,79.3
2201178778,JZSJ900101,59.2
2221439646,LITE502121,83.9
JL21993620,INSM302201,67.6
JL22212440,FEES500101,92.6
2224573556,LITE304421,62.2
2213649171,LITE305421,91.0
2217435033,LITE306821,53.2
2199134930,MACH391401,66.4
2221986881,LITE200521,55.6
2215374290,LITE303221,null
2219522628,LITE305421,null
2211082395,LITE306921,70.9
2203315818,MACH392401,95.1
2207180726,SOCP100190,85.9
2227055972,LITE101121,45.7
2214853962,GNED106292,70.0
2205747004,GNED106292,null
2219954155,GNED101001,71.7
2223363507,LITE200521,null
2228886010,INSM900301,69.9
2213683182,INSM502001,49.8
2190781666,GNED115200,75.3
2229443238,INDE901001,76.2
2217085808,LITE306221,94.7
2218169975,LITE302721,60.3
2198230364,LITE304421,54.9
2229074325,INDE501001,60.3
2196724776,INDE300601,88.4
2214035774,LITE101121,78.0
2197032776,JZSJ900101,70.9
2217817831,MACH391201,80.1
2228141357,LITE200321,92.9
2222380116,INDE500901,88.7
2217959034,LITE402421,72.9
2192281149,INDE300601,59.1
2218167717,GNED106292,72.3
2191397272,LITE305321,94.4
2210521450,INDE401601,null
2228759500,MACH000201,74.6
2221625231,JZSJ900301,58.9
2214067481,GNED100901,32.6
2218098258,LITE307021,68.1
2207049530,LITE306921,55.7
JL21928953,GNED101101,88.0
2193918066,LITE305321,72.0
2210679012,JZSJ900121,87.0
2227123322,JZSJ900121,82.7
2192587724,MACH391201,86.6
2219895854,LITE304421,59.4
2199518975,MACH000101,61.6
JL22261261,LITE305321,74.9
2197045078,LITE305321,66.2
JL21957877,INSM401801,78.9
2224573556,GNED101001,54.2
2224578041,MACH392301,64.8
2223495853,JZSJ900101,81.8
2194191237,LITE401121,73.0
2220987824,INDE401501,67.5
2210941349,LITE306221,93.4
2224212322,INDE401401,49.2
2192587724,GNED100601,null
2197819034,INSM401801,70.8
JL22086058,LITE502121,93.9
2193918066,MACH400301,82.9
2219758473,INSM900101,75.4
2199662571,LITE302721,null
2218817348,MACH000101,63.0
2201329230,LITE502221,78.2
2221217114,LITE502221,90.8
2193694548,LITE305421,95.8
2196531193,LITE305821,null
2219759945,INDE400101,81.5
2226439124,FEES500101,99.7
JL22158559,GNED100901,70.8
JL22274787,LITE401521,84.3
2192427974,INDE000701,93.5
2206372474,LITE303221,67.0
2197278117,LITE101021,66.0
2211246633,LITE200321,95.4
2225140030,LITE401421,52.6
2215615640,INDE900301,70.9
2191614442,LITE501321,82.7
2223001004,MACH392201,90.5
2207347932,MACH392401,33.7
2211960426,INFT500121,80.9
JL21957877,INDE400101,72.6
2210941349,INDE901001,57.8
2221044974,MACH391401,null
2217717189,ITDE500701,68.5
JL22112734,LITE101321,null
2215837292,LITE304621,83.8
2190796474,INSM401201,73.5
JL21933205,GNED100401,68.1
2217305509,GNED115200,83.4
2199859306,MACH391401,91.8
2225611204,INDE900801,94.5
2202662239,MACH391201,91.5
2195077237,INSM502001,81.5
2217435033,GNED106292,null
2221678123,LITE305421,47.2
2199662571,LITE402621,66.6
2213620693,INSM900301,91.5
2227341171,GNED106492,51.0
2198679623,GNED106392,null
2199955537,INFT500121,45.7
2198279568,LITE304421,89.4
2202851376,LITE502221,95.4
2212973577,FEES300101,61.6
2202617602,SOCP100190,77.7
2206762710,INSM401601,56.4
2196361366,SOCP100190,58.9
2205650430,AUTO544905,80.3
2218687112,LITE402621,91.3
JL22174348,LITE305421,74.4
2229071720,GNED100601,64.2
2200777628,LITE101321,null
2199392543,MACH391401,75.7
2200152753,LITE306921,89.3
2203476650,LITE305421,63.6
2214660591,ITDE500601,80.7
2193496719,CORE102600,81.7
2203445445,BSIS400121,null
2228141357,INSM401601,null
2205529609,MACH400301,84.7
2214674581,LITE101321,null
2225161011,GNED101101,68.5
2210705162,GNED100601,88.1
2193913656,LITE306821,83.5
2212792118,LITE402621,77.4
2199712250,LITE305821,89.0
2192665577,LITE401421,53.2
2214941166,LITE305421,77.2
2194404805,FEES400101,89.5
2202456514,ITDE500601,57.2
2195040600,LITE303221,null
2193932324,LITE200521,90.0
2190444407,MACH400301,34.8
2192128377,INSM401601,39.2
2206204587,INSM501901,56.4
2199134930,CORE102600,52.6
JL22086675,MACH391201,68.1
2209699506,INDE401601,64.6
2209699506,INDE500901,85.7
JL22133278,INDE401501,66.5
2201802647,MATH400121,47.2
2215172777,MACH391201,null
2206456462,INDE900201,null
2218113808,INDE401401,null
2223002853,MACH392301,73.4
2204721241,MACH000101,40.9
2205062860,LITE305821,75.3
2218685031,FEES400101,85.4
2217293491,GNED100901,51.3
JL21957877,GNED100401,72.9
2222784391,MACH392201,null
2215921996,INSM502001,null
2194947913,LITE303221,60.4
2192004102,INDE900301,81.2
2208402186,JZSJ900301,99.5
2199509239,LITE305421,84.9
2222444045,LITE302321,84.0
2220396057,LITE305321,85.4
2193632521,LITE502121,57.9
JL22255912,GNED106492,74.7
2228539081,GNED100601,97.6
2217962485,LITE402621,56.5
2219471450,LITE305821,null
2214804955,GNED101001,98.6
2219230309,INDE000701,76.0
JL22107007,CORE102600,null
2229124889,MACH400301,76.6
2222882814,LITE307021,89.0
2223371934,LITE305421,88.0
2214520771,LITE101321,null
2190404097,GNED106292,72.6
2197045078,MATH400121,84.8
2193997415,FEES300101,50.3
2216826207,LITE101321,49.9
JL22171799,ITDE500601,null
2219853491,FEES400501,68.9
2220163322,INDE500901,82.2
2190186105,LITE302321,82.6
2221800247,LITE303221,null
2199236857,INSM302201,72.0
JL22157269,LITE304621,66.0
2200266522,GNED106392,86.4
2193115301,LITE101021,65.0
2221695322,LITE101121,48.2
2219853491,LITE304421,41.3
2190460988,LITE305021,74.4
2221625231,INDE401601,94.9
2222504770,INSM900301,72.6
2214853962,LITE304621,63.5
2215797903,GNED115200,95.6
JL22190052,MACH400301,75.0
2216357826,MACH392201,95.2
2203461422,LITE302321,null
2225709125,MACH392001,93.2
2190444407,GNED101101,61.7
2194404805,LITE502121,39.9
2205185638,AUTO544905,93.8
2225460526,INSM502101,60.6
2197462818,SOCP100190,87.6
2211773408,JZSJ900301,72.1
2221783581,LITE306821,89.9
2211303085,INDE500901,80.9
2190868876,INSM501901,76.0
JL21984012,LITE306321,90.2
2217981216,LITE305621,null
2197127525,LITE402321,65.9
2191158116,JZSJ900301,87.6
2217299447,LITE306221,91.1
2209316448,GNED101101,null
2222610011,JZSJ900121,73.4
2217817831,LITE502121,54.1
2196888323,LITE200521,90.5
2224346066,GNED106292,66.0
2195696139,JZSJ900301,56.8
2212757351,INDE401601,88.8
2214508750,MACH391201,null
2217293491,LITE402621,79.8
2208007143,CORE102600,47.4
2219967533,LITE306221,64.5
2225140030,MACH392001,null
2218380408,INSM401601,76.1
2199922414,INDE500801,null
2192427974,BSIS400121,68.1
JL21933205,LITE401521,84.2
2212581658,INSM501901,42.5
2211793385,LITE303021,74.9
2196531193,FEES400501,79.2
2197971878,INDE501001,73.2
2215185412,LITE303021,59.3
2191379259,LITE307021,82.5
2223597617,GNED100901,null
2203250107,GNED101001,87.5
2203315818,LITE101121,74.5
2220490443,INSM900301,null
2196361366,LITE304621,65.8
JL21924326,INDE900201,79.8
2212085607,ITDE500601,null
2220876383,LITE302721,99.1
2221044974,LITE501321,88.1
2223417116,LITE302721,92.4
2208600490,LITE401421,47.3
2194630264,LITE306321,null
2226659773,INDE400101,49.3
2228759500,GNED100701,84.8
2207150892,GNED100701,null
2195777977,MACH392401,79.7
2227055972,INDE900201,32.6
2223758251,LITE305621,69.5
2217996207,FEES500101,81.3
2216551723,GNED110400,60.0
2211212033,MACH391401,65.4
JL22291493,JZSJ900301,80.3
2214853962,INDE500901,88.9
2197032776,LITE101321,58.3
2192940455,INDE401401,96.3
2199052893,INDE501001,98.0
2202069590,LITE401421,93.1
2227199111,LITE303221,90.0
JL22006930,INSM401801,61.8
2211661449,LITE306321,53.8
2215575684,INDE000701,null
2214674581,LITE401121,84.7
JL22264056,INDE000701,70.7
2229572420,LITE303021,null
2225439149,LITE306821,null
2224203108,MATH400121,70.1
2197884937,LITE200521,null
JL22144367,LITE101321,45.3
2228379774,LITE402621,78.9
2199295189,INDE401501,92.3
2224640895,FEES400301,63.7
2195777977,GNED106292,86.4
2226441989,MATH400121,91.5
JL22160075,MACH390801,null
2206767598,LITE402621,80.7
2197278117,GNED100901,64.2
2200049881,ITDE500701,93.6
JL22133278,LITE302321,77.6
